06-3,32-3,25-1,03-5,07-3,C4,28-2,31-2,34-1,10-5,11-2,12-3,03-4,15-5
04-1,21-2,25-5,22-5,17-5,33-1,14-3,15-1,26-5,04-2,17-1,05-2,C5,02-4
08-5,32-5,11-2,25-3,23-5,30-5,19-2,31-5,01-2,34-3,15-4,12-1,04-2,02-3
08-2,09-2,30-5,22-3,22-2,29-5,25-4,34-1,24-1,01-5,C2,15-4,07-2,05-1
27-3,26-5,32-2,01-1,27-5,04-3,C2,07-2,14-5,32-2,13-3,09-4,18-1,01-1
28-4,04-1,03-4,33-3,28-2,17-5,07-1,29-1,12-4,17-3,06-2,04-1,06-5,30-4
33-2,16-3,20-5,10-4,09-4,21-1,21-4,06-3,34-2,03-3,11-1,C3,13-2,21-1
11-4,06-5,11-5,28-3,33-3,12-2,24-4,24-2,20-2,26-5,33-3,22-2,19-1,32-1
29-4,22-5,22-4,30-4,29-5,09-3,06-2,08-4,23-5,29-2,15-5,34-2,04-5,19-1
19-3,19-3,26-4,33-2,C4,18-1,06-1,09-1,06-1,08-5,09-1,08-3,17-5,18-5
02-1,31-5,09-2,07-4,16-1,22-3,20-4,06-4,15-1,20-1,02-1,08-2,C3,16-2
03-1,08-4,26-1,10-3,12-2,07-1,25-3,33-1,05-2,32-1,15-1,C3,25-4,27-1
31-3,05-4,04-5,33-2,27-1,18-4,30-2,08-1,32-1,22-1,21-2,22-1,07-5,28-5
26-2,20-3,10-1,C4,08-2,10-4,17-3,28-5,30-1,01-2,33-5,20-4,32-4,17-2
20-3,24-4,01-4,29-1,05-3,14-1,14-4,14-5,12-3,26-3,C1,04-2,02-2,24-3
18-3,30-3,04-3,08-1,27-3,29-2,14-5,34-5,33-4,23-3,13-4,27-2,28-4,14-2
29-2,07-4,11-3,27-1,26-2,21-3,30-3,09-2,14-3,24-5,10-4,01-5,28-4,32-3
24-5,11-1,27-4,26-3,14-2,10-1,18-2,23-5,32-2,14-3,12-2,11-2,19-4,09-1
09-3,15-3,13-2,02-5,C5,27-5,16-2,33-4,23-2,34-4,21-5,16-4,07-4,07-5
23-1,04-4,31-5,31-1,19-4,22-3,30-2,11-1,04-4,05-1,25-5,19-2,C2,31-1
20-2,19-5,02-5,12-1,17-2,C1,22-1,C2,27-5,23-2,08-3,16-5,07-1,03-3
13-1,10-2,14-1,20-1,25-2,17-4,C3,28-5,30-4,10-3,09-5,24-1,21-2,03-3
02-5,03-2,21-1,16-1,10-2,C5,22-4,09-4,06-3,31-3,C1,20-4,03-2,23-1
32-4,26-1,08-5,22-4,15-2,29-4,31-1,21-5,12-4,24-3,27-3,02-2,18-5,26-2
24-1,18-5,05-3,01-2,08-1,28-1,28-1,16-3,25-4,10-5,25-3,13-5,13-5,17-2
16-5,03-5,02-2,14-2,06-4,13-5,23-3,16-4,18-3,13-1,23-1,27-2,16-2,31-2
01-4,34-1,29-5,02-4,14-1,01-5,01-3,34-4,32-5,11-5,16-1,15-5,13-4,07-3
29-3,11-5,15-2,09-3,30-3,27-4,33-5,C1,19-5,01-3,11-4,30-1,13-4,14-4
18-4,03-4,15-3,23-4,C5,16-4,32-4,19-3,29-1,25-2,03-1,28-2,21-5,34-3
08-4,06-4,24-2,05-2,20-5,06-1,19-2,30-2,17-4,30-1,15-3,06-5,26-4,34-5
31-4,31-4,29-4,23-4,28-3,29-3,05-3,31-2,01-4,03-1,33-5,28-1,10-5,05-4
05-5,07-3,06-2,31-3,18-1,28-3,34-2,12-5,02-3,24-4,21-3,21-4,04-3,26-4
05-1,07-5,18-4,18-2,16-3,12-1,18-3,03-5,34-3,10-2,16-5,11-4,C1,09-5
26-1,10-3,02-1,05-4,14-4,15-4,25-5,03-2,11-3,04-5,23-4,26-3,01-3,19-1
12-5,01-1,23-3,12-3,31-4,21-3,20-5,22-2,05-5,19-5,29-3,11-3,13-2,05-5
25-1,10-1,18-2,20-1,15-2,02-3,23-2,02-4,04-4,12-4,27-2,09-5,24-2,30-5
07-2,C4,22-5,24-3,25-2,34-4,34-5,13-3,20-3,17-3,20-2,27-4,33-4,21-4
12-5,25-1,08-3,32-3,19-4,33-1,13-1,24-5,C1,17-1,17-4,13-3,17-1,32-5
